Labels	quencher 0.0 mM	
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
585.93750	9.800E+1	
586.91410	1.090E+2	
587.89060	9.300E+1	
588.86720	9.100E+1	
589.84380	9.100E+1	
590.82030	7.800E+1	
591.79690	8.300E+1	
592.77340	8.100E+1	
593.750	6.800E+1	
594.72660	9.800E+1	
595.70310	9.300E+1	
596.67970	8.000E+1	
597.65630	5.900E+1	
598.63280	8.500E+1	
599.60940	8.400E+1	
600.58590	6.800E+1	
601.56250	7.700E+1	
602.53910	8.500E+1	
603.51560	6.100E+1	
604.49220	8.500E+1	
605.46880	7.000E+1	
606.44530	8.100E+1	
607.42190	8.200E+1	
608.39840	6.500E+1	
609.3750	7.900E+1	
610.35160	7.600E+1	
611.32810	6.800E+1	
612.30470	8.100E+1	
613.28130	8.800E+1	
614.25780	6.600E+1	
615.23440	7.500E+1	
616.21090	7.000E+1	
617.18750	6.000E+1	
618.16410	7.700E+1	
619.14060	8.100E+1	
620.11720	6.600E+1	
621.09380	7.800E+1	
622.07030	7.100E+1	
623.04690	8.300E+1	
624.02340	6.800E+1	
625.0	6.300E+1	
625.97660	7.500E+1	
626.95310	5.000E+1	
627.92970	6.700E+1	
628.90630	7.000E+1	
629.88280	6.100E+1	
630.85940	5.700E+1	
631.83590	7.500E+1	
632.81250	6.000E+1	
633.78910	7.400E+1	
634.76560	7.600E+1	
635.74220	6.400E+1	
636.71880	7.200E+1	
637.69530	6.300E+1	
638.67190	6.300E+1	
639.64840	6.200E+1	
640.6250	7.000E+1	
641.60160	5.700E+1	
642.57810	6.100E+1	
643.55470	5.400E+1	
644.53130	6.100E+1	
645.50780	5.600E+1	
646.48440	6.600E+1	
647.46090	5.500E+1	
648.43750	6.100E+1	
649.41410	5.900E+1	
650.39060	5.000E+1	
651.36720	6.100E+1	
652.34380	5.900E+1	
653.32030	4.900E+1	
654.29690	6.300E+1	
655.27340	5.900E+1	
656.250	6.200E+1	
657.22660	6.700E+1	
658.20310	5.000E+1	
659.17970	6.000E+1	
660.15630	5.200E+1	
661.13280	6.600E+1	
662.10940	5.700E+1	
663.08590	6.100E+1	
664.06250	5.200E+1	
665.03910	4.500E+1	
666.01560	5.600E+1	
666.99220	5.200E+1	
667.96880	4.700E+1	
668.94530	5.500E+1	
