Labels	quencher 0.5 mM		
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
594.72660	4.700E+1	
595.70310	4.500E+1	
596.67970	3.800E+1	
597.65630	4.500E+1	
598.63280	3.700E+1	
599.60940	5.000E+1	
600.58590	4.100E+1	
601.56250	3.300E+1	
602.53910	4.200E+1	
603.51560	4.400E+1	
604.49220	5.800E+1	
605.46880	4.200E+1	
606.44530	5.100E+1	
607.42190	4.100E+1	
608.39840	3.800E+1	
609.3750	3.800E+1	
610.35160	4.700E+1	
611.32810	4.800E+1	
612.30470	3.000E+1	
613.28130	3.300E+1	
614.25780	4.000E+1	
615.23440	4.000E+1	
616.21090	3.600E+1	
617.18750	3.000E+1	
618.16410	5.100E+1	
619.14060	4.800E+1	
620.11720	4.400E+1	
621.09380	4.400E+1	
622.07030	3.900E+1	
623.04690	4.400E+1	
624.02340	4.700E+1	
625.0	3.500E+1	
625.97660	2.500E+1	
626.95310	4.600E+1	
627.92970	2.800E+1	
628.90630	4.000E+1	
629.88280	2.800E+1	
630.85940	4.100E+1	
631.83590	4.200E+1	
632.81250	2.100E+1	
633.78910	3.300E+1	
634.76560	4.700E+1	
635.74220	2.800E+1	
636.71880	4.300E+1	
637.69530	4.300E+1	
638.67190	4.000E+1	
639.64840	4.200E+1	
640.6250	3.000E+1	
641.60160	3.900E+1	
642.57810	2.600E+1	
643.55470	3.700E+1	
644.53130	3.200E+1	
645.50780	3.800E+1	
646.48440	3.400E+1	
647.46090	4.000E+1	
648.43750	2.600E+1	
649.41410	4.700E+1	
650.39060	3.800E+1	
651.36720	3.000E+1	
652.34380	2.800E+1	
653.32030	2.800E+1	
654.29690	2.500E+1	
655.27340	3.800E+1	
656.250	3.100E+1	
657.22660	3.900E+1	
658.20310	2.600E+1	
659.17970	4.000E+1	
660.15630	3.700E+1	
661.13280	3.400E+1	
662.10940	3.100E+1	
663.08590	2.200E+1	
664.06250	3.300E+1	
665.03910	4.200E+1	
666.01560	3.500E+1	
666.99220	2.900E+1	
667.96880	3.100E+1	
668.94530	3.600E+1	
669.92190	2.700E+1	
670.89840	4.800E+1	
671.8750	2.300E+1	
672.85160	2.600E+1	
673.82810	3.000E+1	
674.80470	3.200E+1	
675.78130	4.000E+1	
676.75780	4.300E+1	
677.73440	3.500E+1	
678.71090	2.500E+1	
679.68750	3.000E+1	
680.66410	3.500E+1	
681.64060	3.000E+1	
682.61720	3.200E+1	
683.59380	2.400E+1	
684.57030	2.800E+1	
685.54690	2.700E+1	
686.52340	2.600E+1	
687.50	2.800E+1	
688.47660	3.300E+1	
689.45310	2.300E+1	
690.42970	2.600E+1	
691.40630	1.800E+1	
692.38280	2.900E+1	
693.35940	2.600E+1	
694.33590	3.000E+1	
695.31250	3.500E+1	
696.28910	2.700E+1	
697.26560	2.800E+1	
698.24220	2.900E+1	
699.21880	2.400E+1	
700.19530	3.100E+1	
701.17190	2.900E+1	
702.14840	2.400E+1	
703.1250	2.700E+1	
704.10160	2.000E+1	
705.07810	2.800E+1	
706.05470	1.500E+1	
707.03130	2.400E+1	
708.00780	3.700E+1	
708.98440	2.400E+1	
709.96090	2.400E+1	
710.93750	3.000E+1	
711.91410	3.900E+1	
712.89060	2.000E+1	
713.86720	1.700E+1	
714.84380	2.100E+1	
715.82030	2.600E+1	
716.79690	3.200E+1	
717.77340	1.900E+1	
718.750	2.800E+1	
719.72660	2.900E+1	
720.70310	2.600E+1	
721.67970	3.300E+1	
722.65630	3.300E+1	
723.63280	1.700E+1	
724.60940	2.600E+1	
725.58590	1.900E+1	
726.56250	1.600E+1	
727.53910	2.600E+1	
728.51560	3.100E+1	
729.49220	2.600E+1	
730.46880	2.400E+1	
731.44530	1.800E+1	
732.42190	2.500E+1	
733.39840	2.800E+1	
734.3750	2.500E+1	
735.35160	2.600E+1	
736.32810	2.200E+1	
737.30470	2.100E+1	
738.28130	3.200E+1	
739.25780	2.000E+1	
740.23440	2.800E+1	
741.21090	2.500E+1	
742.18750	1.700E+1	
743.16410	2.100E+1	
744.14060	2.300E+1	
745.11720	2.400E+1	
746.09380	1.800E+1	
747.07030	2.000E+1	
748.04690	2.500E+1	
749.02340	2.200E+1	
750.0	2.600E+1	
750.97660	2.100E+1	
751.95310	3.500E+1	
752.92970	1.800E+1	
753.90630	2.300E+1	
754.88280	2.500E+1	
755.85940	2.300E+1	
756.83590	2.700E+1	
757.81250	3.100E+1	
758.78910	2.100E+1	
759.76560	1.500E+1	
760.74220	2.200E+1	
761.71880	2.000E+1	
762.69530	1.700E+1	
763.67190	3.000E+1	
764.64840	2.900E+1	
765.6250	1.900E+1	
766.60160	2.300E+1	
767.57810	1.900E+1	
768.55470	2.100E+1	
769.53130	2.300E+1	
770.50780	1.600E+1	
771.48440	2.800E+1	
772.46090	2.000E+1	
773.43750	2.600E+1	
774.41410	2.500E+1	
775.39060	2.200E+1	
776.36720	2.500E+1	
777.34380	2.500E+1	
778.32030	2.000E+1	
779.29690	1.600E+1	
780.27340	1.600E+1	
781.250	1.500E+1	
782.22660	2.400E+1	
783.20310	1.900E+1	
784.17970	1.300E+1	
785.15630	1.700E+1	
786.13280	2.200E+1	
787.10940	2.000E+1	
788.08590	2.300E+1	
789.06250	3.000E+1	
790.03910	1.600E+1	
791.01560	2.500E+1	
791.99220	1.700E+1	
792.96880	1.000E+1	
793.94530	1.500E+1	
794.92190	1.600E+1	
795.89840	1.900E+1	
796.8750	1.700E+1	
797.85160	1.500E+1	
798.82810	2.300E+1	
799.80470	1.400E+1	
800.78130	1.900E+1	
801.75780	1.800E+1	
802.73440	1.600E+1	
803.71090	2.800E+1	
804.68750	1.400E+1	
805.66410	2.200E+1	
806.64060	2.300E+1	
807.61720	1.400E+1	
808.59380	1.600E+1	
809.57030	1.500E+1	
810.54690	1.900E+1	
811.52340	1.500E+1	
812.50	2.300E+1	
813.47660	2.100E+1	
814.45310	1.600E+1	
815.42970	2.200E+1	
816.40630	1.500E+1	
817.38280	1.700E+1	
818.35940	1.600E+1	
819.33590	1.800E+1	
820.31250	1.600E+1	
821.28910	2.500E+1	
822.26560	2.000E+1	
823.24220	1.700E+1	
824.21880	1.000E+1	
825.19530	1.700E+1	
826.17190	2.700E+1	
827.14840	1.400E+1	
828.1250	1.000E+1	
829.10160	1.600E+1	
830.07810	1.100E+1	
831.05470	2.500E+1	
832.03130	1.600E+1	
833.00780	1.600E+1	
833.98440	1.200E+1	
834.96090	1.800E+1	
835.93750	1.800E+1	
836.91410	8.000E+0	
837.89060	8.000E+0	
838.86720	1.300E+1	
839.84380	1.100E+1	
840.82030	1.400E+1	
841.79690	1.400E+1	
842.77340	1.500E+1	
843.750	1.300E+1	
844.72660	1.800E+1	
845.70310	1.400E+1	
846.67970	1.300E+1	
847.65630	2.100E+1	
848.63280	1.600E+1	
849.60940	9.000E+0	
850.58590	1.400E+1	
851.56250	1.200E+1	
852.53910	1.600E+1	
853.51560	1.200E+1	
854.49220	1.700E+1	
855.46880	1.800E+1	
856.44530	1.200E+1	
857.42190	1.800E+1	
858.39840	1.000E+1	
859.3750	1.600E+1	
860.35160	1.400E+1	
861.32810	1.000E+1	
862.30470	2.100E+1	
863.28130	1.500E+1	
864.25780	1.300E+1	
865.23440	2.100E+1	
866.21090	1.900E+1	
867.18750	1.200E+1	
