Data size:	256 x 256
Surface Size:	3.0000 x 3.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	MilliVolt

X		Y		Z
1.8750	?m	0.0000	?m	3.662109375	mV
1.8867	?m	0.0000	?m	-0.305175781	mV
1.8984	?m	0.0000	?m	1.220703125	mV
1.9102	?m	0.0000	?m	-2.136230469	mV
1.9219	?m	0.0000	?m	-0.610351562	mV
1.9336	?m	0.0000	?m	-0.305175781	mV
1.9453	?m	0.0000	?m	1.220703125	mV
1.9570	?m	0.0000	?m	0.915527344	mV
1.9688	?m	0.0000	?m	0.000000000	mV
1.9805	?m	0.0000	?m	0.305175781	mV
1.9922	?m	0.0000	?m	2.746582031	mV
2.0039	?m	0.0000	?m	0.000000000	mV
2.0156	?m	0.0000	?m	-0.305175781	mV
2.0273	?m	0.0000	?m	1.525878906	mV
2.0391	?m	0.0000	?m	-1.525878906	mV
2.0508	?m	0.0000	?m	-1.220703125	mV
2.0625	?m	0.0000	?m	0.000000000	mV
2.0742	?m	0.0000	?m	2.136230469	mV
2.0859	?m	0.0000	?m	-2.746582031	mV
2.0977	?m	0.0000	?m	-0.915527344	mV
2.1094	?m	0.0000	?m	-7.324218750	mV
2.1211	?m	0.0000	?m	-0.915527344	mV
2.1328	?m	0.0000	?m	-0.915527344	mV
2.1445	?m	0.0000	?m	-3.967285156	mV
2.1562	?m	0.0000	?m	-3.967285156	mV
2.1680	?m	0.0000	?m	0.000000000	mV
2.1797	?m	0.0000	?m	2.746582031	mV
2.1914	?m	0.0000	?m	-3.662109375	mV
2.2031	?m	0.0000	?m	-1.525878906	mV
2.2148	?m	0.0000	?m	-2.441406250	mV
2.2266	?m	0.0000	?m	-2.746582031	mV
2.2383	?m	0.0000	?m	-0.305175781	mV
2.2500	?m	0.0000	?m	-0.610351562	mV
2.2617	?m	0.0000	?m	-2.746582031	mV
2.2734	?m	0.0000	?m	1.220703125	mV
2.2852	?m	0.0000	?m	-1.220703125	mV
2.2969	?m	0.0000	?m	1.831054688	mV
2.3086	?m	0.0000	?m	1.220703125	mV
2.3203	?m	0.0000	?m	-1.525878906	mV
2.3320	?m	0.0000	?m	4.882812500	mV
2.3438	?m	0.0000	?m	3.051757812	mV
2.3555	?m	0.0000	?m	0.915527344	mV
2.3672	?m	0.0000	?m	3.662109375	mV
2.3789	?m	0.0000	?m	4.272460938	mV
2.3906	?m	0.0000	?m	4.577636719	mV
2.4023	?m	0.0000	?m	4.272460938	mV
2.4141	?m	0.0000	?m	9.155273438	mV
2.4258	?m	0.0000	?m	7.019042969	mV
2.4375	?m	0.0000	?m	14.038085938	mV
2.4492	?m	0.0000	?m	16.174316406	mV
2.4609	?m	0.0000	?m	14.038085938	mV
2.4727	?m	0.0000	?m	15.563964844	mV
2.4844	?m	0.0000	?m	19.531250000	mV
2.4961	?m	0.0000	?m	20.751953125	mV
2.5078	?m	0.0000	?m	12.512207031	mV
2.5195	?m	0.0000	?m	15.258789062	mV
2.5313	?m	0.0000	?m	14.343261719	mV
2.5430	?m	0.0000	?m	15.258789062	mV
2.5547	?m	0.0000	?m	14.953613281	mV
2.5664	?m	0.0000	?m	17.700195312	mV
