unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,HAZ,DSP_D,W011,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,HR	0 	0 	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,NO	1 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,BG	: 	0 	61 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,CZ	: c	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,DK	1 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,ES	1 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,EU28	1 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,FI	27 	2 	6 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,HR	0 	0 	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,NO	51 	37 	45 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W012,PT	0 	0 	0 	: 	: 	: 
