unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,NHAZ,TRT,RCV_OTH,EL	: 	: 	: 	10 	8 	4 
KG_HAB,NHAZ,TRT,RCV_OTH,ES	: 	: 	: 	80 	222 	324 
KG_HAB,NHAZ,TRT,RCV_OTH,EU28	: 	: 	: 	158 	153 	165 
KG_HAB,NHAZ,TRT,RCV_OTH,FI	: 	: 	: 	1111 	49 	72 
KG_HAB,NHAZ,TRT,RCV_OTH,FR	: 	: 	: 	91 	50 	111 
KG_HAB,NHAZ,TRT,RCV_OTH,HR	: 	: 	: 	17 	1 	10 
KG_HAB,NHAZ,TRT,RCV_OTH,HU	: 	: 	: 	111 	37 	24 
KG_HAB,NHAZ,TRT,RCV_OTH,IE	: 	: 	: 	3 	57 	62 
KG_HAB,NHAZ,TRT,RCV_OTH,IS	: b	: 	: 	565 	: 	0 
KG_HAB,NHAZ,TRT,RCV_OTH,IT	: 	: 	: 	179 	178 	105 
KG_HAB,NHAZ,TRT,RCV_OTH,LT	: 	: 	: 	26 	7 	27 
KG_HAB,NHAZ,TRT,RCV_OTH,LU	: 	: 	: 	120 	105 	97 
KG_HAB,NHAZ,TRT,RCV_OTH,LV	: 	: 	: 	35 	63 	35 
KG_HAB,NHAZ,TRT,RCV_OTH,MK	: 	: 	: 	0 	: 	: 
KG_HAB,NHAZ,TRT,RCV_OTH,MT	: 	: 	: 	0 	95 	73 
KG_HAB,NHAZ,TRT,RCV_OTH,NL	: 	: 	: 	603 	608 	597 
KG_HAB,NHAZ,TRT,RCV_OTH,NO	: 	: 	: 	169 	178 	58 
KG_HAB,NHAZ,TRT,RCV_OTH,PL	: 	: 	: 	111 	64 	106 
KG_HAB,NHAZ,TRT,RCV_OTH,PT	: 	: 	: 	118 	139 	177 
KG_HAB,NHAZ,TRT,RCV_OTH,RO	: 	: 	: 	10 	7 	10 
KG_HAB,NHAZ,TRT,RCV_OTH,SE	: 	: 	: 	64 	96 	68 
KG_HAB,NHAZ,TRT,RCV_OTH,SI	: 	: 	: 	363 	45 	301 
KG_HAB,NHAZ,TRT,RCV_OTH,SK	: 	: 	: 	55 	106 	48 
KG_HAB,NHAZ,TRT,RCV_OTH,TR	: 	: 	: 	12 	1 	24 
KG_HAB,NHAZ,TRT,RCV_OTH,UK	: 	: 	: 	182 	189 	112 
KG_HAB,NHAZ,TRT,TOTAL,AL	425 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOTAL,AT	6264 	3770 	3509 	5763 	5659 	6212 
KG_HAB,NHAZ,TRT,TOTAL,BE	3719 	3529 	1505 	2477 	2680 	2848 
KG_HAB,NHAZ,TRT,TOTAL,BG	22637 	19897 	19795 	19769 	19056 	23711 
KG_HAB,NHAZ,TRT,TOTAL,CY	1942 	2376 	2822 	2313 	1641 	1535 
KG_HAB,NHAZ,TRT,TOTAL,CZ	1831 	1666 	1663 	1736 	1603 	2145 
KG_HAB,NHAZ,TRT,TOTAL,DE	4325 	4127 	4042 	4183 	4086 	3944 
KG_HAB,NHAZ,TRT,TOTAL,DK	2817 	2342 	2267 	2588 	2684 	2323 
KG_HAB,NHAZ,TRT,TOTAL,EE	7926 	8678 	6778 	7239 	8014 	6041 
KG_HAB,NHAZ,TRT,TOTAL,EL	6145 	6449 	6320 	6081 	4720 	2301 
KG_HAB,NHAZ,TRT,TOTAL,ES	2175 	2267 	2790 	2923 	3157 	3088 
KG_HAB,NHAZ,TRT,TOTAL,EU28	4423 	4380 	4254 	4267 	4213 	4132 
KG_HAB,NHAZ,TRT,TOTAL,FI	16724 	16451 	19440 	13677 	11977 	12392 
KG_HAB,NHAZ,TRT,TOTAL,FR	4423 	4681 	4976 	4920 	4505 s	4424 s
KG_HAB,NHAZ,TRT,TOTAL,HR	801 	683 	586 	773 	508 	1094 
KG_HAB,NHAZ,TRT,TOTAL,HU	1349 	1269 	1305 	1545 	1370 	940 
KG_HAB,NHAZ,TRT,TOTAL,IE	2144 	1736 	2007 	3576 	5274 	4448 
KG_HAB,NHAZ,TRT,TOTAL,IS	2322 b	1588 	1553 	1868 	: 	1636 
KG_HAB,NHAZ,TRT,TOTAL,IT	2066 	2136 	2093 	2118 	1944 	1724 
KG_HAB,NHAZ,TRT,TOTAL,LT	1530 	1411 	1452 	1753 	1583 	1345 
KG_HAB,NHAZ,TRT,TOTAL,LU	15272 	19399 	24501 	23709 	21397 	22229 
KG_HAB,NHAZ,TRT,TOTAL,LV	952 	753 	454 	606 	496 	411 
KG_HAB,NHAZ,TRT,TOTAL,ME	1104 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOTAL,MK	723 	4048 	950 	731 	: 	: 
KG_HAB,NHAZ,TRT,TOTAL,MT	3648 	3096 	2928 	4765 	6855 	7720 
KG_HAB,NHAZ,TRT,TOTAL,NL	7477 	6886 	6606 	5670 	5409 	5160 
KG_HAB,NHAZ,TRT,TOTAL,NO	1970 	1811 	968 	1719 	1599 	1196 
KG_HAB,NHAZ,TRT,TOTAL,PL	4750 	4184 	3812 	3617 	4405 	3326 
KG_HAB,NHAZ,TRT,TOTAL,PT	939 	951 	1116 	1242 	2018 	2103 
KG_HAB,NHAZ,TRT,TOTAL,RO	8624 	12311 	9814 	7705 	7653 	9734 
KG_HAB,NHAZ,TRT,TOTAL,RS	5042 	5639 	3012 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOTAL,SE	16728 	15768 	11698 	8716 	9901 	9564 
KG_HAB,NHAZ,TRT,TOTAL,SI	2596 	2428 	2703 	2536 	2068 	2450 
KG_HAB,NHAZ,TRT,TOTAL,SK	1272 	1267 	1385 	1652 	2301 	2171 
KG_HAB,NHAZ,TRT,TOTAL,TR	943 	13029 	10549 	831 	591 	817 
KG_HAB,NHAZ,TRT,TOTAL,UK	3192 	2881 	3129 	4235 	3912 	3542 
KG_HAB,NHAZ,TRT,TOT_X_MIN,AL	425 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,AT	1605 	1494 	1270 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,BE	3512 	2070 	1398 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,BG	2254 	2181 	936 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,CY	790 	931 	1020 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,CZ	892 	863 	883 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,DE	1571 	1474 	1410 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,DK	1244 	1344 	1410 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,EE	764 	867 	1155 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,EL	1631 	1954 	2011 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,ES	1228 	1115 	1166 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,EU28	1388 	1357 	1320 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,FI	1832 	3825 	3745 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,FR	1080 	1062 	1129 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,HR	651 	525 	532 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,HU	929 	956 	907 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,IE	647 	639 	684 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,IS	1171 b	1539 	1459 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,IT	1293 	1314 	1243 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,LT	576 	547 	657 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,LU	5180 	6597 	8753 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,LV	890 	659 	375 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,ME	1040 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,MK	714 	4016 	600 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,MT	556 	552 	575 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,NL	2385 	2315 	2173 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,NO	1593 	1644 	897 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,PL	1962 	1703 	1636 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,PT	777 	842 	996 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,RO	969 	1097 	1041 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,RS	1070 	979 	896 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,SE	1649 	1557 	1502 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,SI	1324 	1640 	1468 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,SK	892 	1004 	949 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,TR	: 	701 	648 	: 	: 	: 
KG_HAB,NHAZ,TRT,TOT_X_MIN,UK	1048 	1165 	1265 	: 	: 	: 
KG_HAB,NHAZ,TRT,W01-05,AL	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W01-05,AT	30 	25 	15 	13 	19 	23 
KG_HAB,NHAZ,TRT,W01-05,BE	72 	86 	140 	49 	27 	33 
KG_HAB,NHAZ,TRT,W01-05,BG	42 	14 	5 	32 	33 	191 
KG_HAB,NHAZ,TRT,W01-05,CY	15 	16 	17 	0 	0 	214 
KG_HAB,NHAZ,TRT,W01-05,CZ	19 	15 	17 	5 	7 	7 
KG_HAB,NHAZ,TRT,W01-05,DE	33 	29 	29 	24 	24 	25 
KG_HAB,NHAZ,TRT,W01-05,DK	8 	15 	14 	0 	0 	0 
KG_HAB,NHAZ,TRT,W01-05,EE	37 	32 	128 	5 	4 	3 
KG_HAB,NHAZ,TRT,W01-05,EL	8 	3 	8 	4 	7 	31 
KG_HAB,NHAZ,TRT,W01-05,ES	23 	23 	31 	15 	5 	19 
KG_HAB,NHAZ,TRT,W01-05,EU28	24 	25 	27 	26 	28 	37 
KG_HAB,NHAZ,TRT,W01-05,FI	66 	59 	69 	146 	167 	198 
KG_HAB,NHAZ,TRT,W01-05,FR	14 	12 	17 	19 	9 	1 
KG_HAB,NHAZ,TRT,W01-05,HR	1 	1 	2 	104 	0 	6 
KG_HAB,NHAZ,TRT,W01-05,HU	16 	12 	6 	3 	2 	2 
KG_HAB,NHAZ,TRT,W01-05,IE	14 	8 	4 	15 	4 	6 
KG_HAB,NHAZ,TRT,W01-05,IS	240 b	0 	1 	0 	: 	0 
KG_HAB,NHAZ,TRT,W01-05,IT	22 	39 	27 	26 	23 	23 
KG_HAB,NHAZ,TRT,W01-05,LT	3 	3 	4 	593 	614 	544 
KG_HAB,NHAZ,TRT,W01-05,LU	3 	3 	3 	0 	0 	18 
KG_HAB,NHAZ,TRT,W01-05,LV	0 	1 	2 	1 	0 	1 
KG_HAB,NHAZ,TRT,W01-05,ME	1 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W01-05,MK	460 	23 	1 	3 	: 	: 
KG_HAB,NHAZ,TRT,W01-05,MT	10 	13 	2 	5 	0 	1 
KG_HAB,NHAZ,TRT,W01-05,NL	59 	60 	46 	19 	30 	13 
KG_HAB,NHAZ,TRT,W01-05,NO	6 	28 	15 	32 	30 	33 
KG_HAB,NHAZ,TRT,W01-05,PL	12 	15 	27 	49 	64 	65 
KG_HAB,NHAZ,TRT,W01-05,PT	32 	26 	25 	8 	24 	54 
KG_HAB,NHAZ,TRT,W01-05,RO	31 	34 	33 	4 	25 	16 
KG_HAB,NHAZ,TRT,W01-05,RS	1 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W01-05,SE	40 	51 	67 	36 	131 	357 
KG_HAB,NHAZ,TRT,W01-05,SI	59 	56 	65 	21 	23 	24 
KG_HAB,NHAZ,TRT,W01-05,SK	21 	26 	34 	9 	13 	12 
KG_HAB,NHAZ,TRT,W01-05,TR	: 	7 	19 	21 	5 	34 
KG_HAB,NHAZ,TRT,W01-05,UK	13 	9 	10 	12 	13 	22 
KG_HAB,NHAZ,TRT,W011,EU28	: 	: 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W011,IS	: b	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W011,ME	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W011,MT	: 	: 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W011,PT	: 	: 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W011,RO	: 	: 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,AL	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,AT	9 	7 	8 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,BE	28 	24 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,BG	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,CY	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,CZ	0 	1 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,DE	4 	4 	3 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,DK	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,EE	17 	30 	24 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,EL	0 	0 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,ES	3 	3 	3 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,EU28	5 	5 	4 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,FI	2 	3 	15 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,FR	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,HR	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,HU	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,IE	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,IT	3 	5 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,LT	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,LU	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,LV	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,ME	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,MK	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,MT	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,NL	28 	24 	26 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,NO	0 	0 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,PL	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,PT	9 	7 	6 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,RO	28 	27 	26 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,RS	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,SE	9 	9 	18 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,SI	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,SK	1 	1 	7 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,TR	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W012,UK	1 	1 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W013,EU28	: 	: 	0 	: 	0 	: 
KG_HAB,NHAZ,TRT,W013,HR	: 	: 	: 	: 	0 	: 
KG_HAB,NHAZ,TRT,W013,IS	: b	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W013,ME	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W013,MT	: 	: 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W013,PT	: 	: 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W013,RO	: 	: 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,AT	4 	5 	4 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,BE	2 	3 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,BG	1 	4 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,CY	5 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,CZ	2 	2 	4 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,DE	4 	3 	3 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,DK	1 	2 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,EE	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,EL	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,ES	3 	4 	5 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,EU28	3 	4 	4 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,FI	19 	17 	24 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,FR	2 	1 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,HR	0 	1 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,HU	1 	2 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,IE	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,IS	239 b	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,IT	3 	2 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,LT	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,LU	2 	3 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,LV	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,MK	0 	2 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,MT	2 	1 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,NL	3 	4 	3 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,NO	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,PL	4 	7 	7 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,PT	9 	9 	8 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,RO	0 	2 	3 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,RS	1 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,SE	21 	25 	26 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,SI	20 	12 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,SK	5 	6 	6 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,TR	: 	0 	4 	: 	: 	: 
KG_HAB,NHAZ,TRT,W02A,UK	1 	2 	3 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,AL	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,AT	5 	2 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,BE	9 	33 	100 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,BG	40 	10 	5 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,CY	1 	1 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,CZ	14 	11 	11 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,DE	20 	17 	19 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,DK	7 	13 	13 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,EE	16 	0 	103 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,EL	7 	2 	5 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,ES	14 	12 	13 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,EU28	11 	12 	15 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,FI	43 	37 	28 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,FR	10 	10 	15 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,HR	1 	1 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,HU	3 	3 	5 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,IE	2 	1 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,IT	13 	29 	22 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,LT	2 	3 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,LU	1 	1 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,LV	0 	1 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,ME	1 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,MK	457 	1 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,MT	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,NL	14 	12 	12 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,NO	5 	28 	14 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,PL	6 	5 	17 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,PT	12 	9 	9 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,RO	2 	3 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,RS	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,SE	11 	16 	21 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,SI	39 	35 	39 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,SK	7 	13 	19 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,TR	7 	6 	15 	: 	: 	: 
KG_HAB,NHAZ,TRT,W032,UK	2 	1 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,AL	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,AT	8 	8 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,BE	30 	23 	29 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,BG	1 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,CY	8 	14 	15 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,CZ	2 	2 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,DE	1 	1 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,DK	1 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,EE	4 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,EL	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,ES	3 	4 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,EU28	4 	3 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,FI	0 	0 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,FR	2 	1 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,HR	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,HU	11 	7 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,IE	12 	7 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,IT	3 	3 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,LT	0 	0 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,LU	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,LV	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,ME	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,MK	3 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,MT	8 	11 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,NL	13 	19 	5 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,NO	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,PL	2 	3 	3 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,PT	3 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,RO	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,RS	0 	0 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,SE	0 	0 	1 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,SI	0 	8 	23 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,SK	8 	5 	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,TR	2 	: c	0 	: 	: 	: 
KG_HAB,NHAZ,TRT,W033,UK	7 	3 	2 	: 	: 	: 
KG_HAB,NHAZ,TRT,W05,AL	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W05,AT	3 	3 	3 	0 	7 	7 
KG_HAB,NHAZ,TRT,W05,BE	3 	3 	7 	3 	2 	4 
KG_HAB,NHAZ,TRT,W05,BG	1 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,CY	1 	1 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,CZ	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,DE	4 	4 	3 	3 	2 	1 
KG_HAB,NHAZ,TRT,W05,DK	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,EE	0 	1 	2 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,EL	1 	1 	1 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,ES	0 	0 	8 	2 	0 	0 
KG_HAB,NHAZ,TRT,W05,EU28	1 	1 	2 	1 	1 	1 
KG_HAB,NHAZ,TRT,W05,FI	1 	1 	2 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,FR	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,HR	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,HU	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,IE	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,IS	0 b	0 	1 	0 	: 	0 
KG_HAB,NHAZ,TRT,W05,IT	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,LT	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,LU	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,LV	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,ME	0 	: 	: 	: 	: 	: 
KG_HAB,NHAZ,TRT,W05,MK	0 	20 	0 	0 	: 	: 
KG_HAB,NHAZ,TRT,W05,MT	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,NL	1 	1 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,NO	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,PL	0 	0 	0 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,PT	0 	1 	1 	0 	1 	2 
KG_HAB,NHAZ,TRT,W05,RO	0 	1 	1 	0 	0 	0 
KG_HAB,NHAZ,TRT,W05,RS	0 	0 	0 	: 	: 	: 
